"","book_num","assessment_date","release_recommendation","release_decision","psa_fta_risk_score","psa_nca_risk_score","psa_nvca_risk_score","psa_score","psa_tool_question","psa_tool_response","monitor_level"
"1","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_1",0,NA
"2","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_2",0,NA
"3","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_3",0,NA
"4","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_4",0,NA
"5","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_5",0,NA
"6","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_6",0,NA
"7","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_7",0,NA
"8","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_8",0,NA
"9","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_9",0,NA
"10","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_2a",0,NA
"11","B10147940",2020-04-14,"Monitor","Other_Unknown",1,1,0,1,"psa_tool_response_5a",0,NA
"12","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_1",0,NA
"13","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_2",2,NA
"14","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_3",0,NA
"15","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_4",1,NA
"16","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_5",1,NA
"17","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_6",2,NA
"18","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_7",0,NA
"19","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_8",0,NA
"20","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_9",2,NA
"21","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_2a",0,NA
"22","P10155381",2020-01-12,"Other_Unknown","Other_Unknown",2,4,1,5,"psa_tool_response_5a",1,NA
"23","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_1",0,"High"
"24","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_2",2,"High"
"25","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_3",0,"High"
"26","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_4",1,"High"
"27","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_5",1,"High"
"28","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_6",1,"High"
"29","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_7",0,"High"
"30","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_8",0,"High"
"31","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_9",2,"High"
"32","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_2a",0,"High"
"33","T10162644",2020-03-06,"Detain","Monitor",2,4,1,5,"psa_tool_response_5a",1,"High"
"34","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_1",0,NA
"35","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_2",2,NA
"36","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_3",1,NA
"37","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_4",1,NA
"38","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_5",1,NA
"39","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_6",1,NA
"40","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_7",4,NA
"41","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_8",1,NA
"42","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_9",2,NA
"43","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_2a",0,NA
"44","N10174692",2020-01-15,"Other_Unknown","Other_Unknown",6,6,1,6,"psa_tool_response_5a",1,NA
"45","O10187460",2019-12-31,"Other_Unknown","Other_Unknown",5,4,0,5,"psa_tool_response_1",0,NA
